Year completed,Date Completed,Project Code,Project Name,Regional Economic Development Council,NYISO Zone,NY State County,NY Region,Customer,Agency,Project category,Facility Description,Number of Facilities,Total Project Cost,First Year Bill Savings,Demand Reduction (KW),Electric Energy Reduction (kWh),Gas Savings (Therms),Oil Savings (Gallons),Steam Savings (M Lbs),Digester Gas Savings (CCF),Coal Savings (Tons),Equivalent Barrels of Oil Saved,Reduction in Greenhouse Gas Emissions (Tons),Renewable Energy (KW),Address,Address Ext,City,State,Zip,Project or Program description
2005,07/11/2005,ES-LTN-0283,"NYPD - PRECINCTS 105TH, 107TH, 108TH, 109TH, 110TH, 113TH, 115TH",New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency,"Police Precincts, Fire Stations",7,540804,68129,141.5,818232,0,0,0,,0,2007.671,236.4478,0,92 - 08 222nd. Street,,Queens Village,NY,11428,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts. Install occupancy sensors to control lighting.
2005,07/11/2005,ES-LTN-0284,"NYPD - PRECINCTS-HWY #1/SS #2; 42nd, 45th, 47th, 60th, 73rd, 84Tth",New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency,"Police Precincts, Fire Stations",7,712870,79048,162.7,981388,0,0,0,,0,2407.843,283.5956,0,Hwy1/SS2: Unionport Rd. & Bronx River Pkwy; 42nd: 830 W,Bklyn 60th: 2951 West 8th St; 73rd: 1470 East NY Ave; 8,Bronx,NY,10462,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts. Install occupancy sensors to control lighting.
2005,07/11/2005,ES-LTN-0282,"NYPD - PRECINCTS-MTS, PAL, 25TH, 78TH, 79tTH, 88TH",New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency,"Police Precincts, Fire Stations",6,603949,74753,157.6,917854,0,0,0,,0,2252.102,265.2359,0,MTS: 357 W35th st; NYC; 65 6th Ave.,,Brooklyn,NY,11217,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts.
2005,07/05/2005,ES-LTN-0154,NEW YORK HALL OF SCIENCE,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Cultural Affairs,Energy Efficiency,"Arenas, Armories, Convention Ctr, Museums, Halls",1,424844,71493,161.1,619153,0,0,0,,0,1519.119,178.9191,0,47-01 111th Street,,QUEENS,NY,11368,"Installation of occupancy sensors in offices to shut the lighting off automatically when space is unoccupied. Energy efficiency to the mechanical system included installation of premium efficiency motors, new efficient electric chiller, thermostat control upgrades and improvements to how the ducts work in relation to supplying or discharging air from building spaces."
2005,06/30/2005,ES-NEN-0029,NYPD - 114TH POLICE PRECINCT - BOILER,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency,"Police Precincts, Fire Stations",1,413446,57419,0,0,-39910,81662,0,,0,1419.483,624.3369,0,"34-16 Astoria Blvd, SW Corner",,Queens,NY,11105,"Install two new energy efficient dual fuel boilers each rated at 1.35 MMBH for a total installed capacity of 2.7 MMBH. In addition, the existing defectivedomestic hot water tank and pump will be replaced with a new energy efficient gas fired hot water heater."
2005,06/30/2005,ES-LTN-0234,"NYPD - Police Academy - Lighting, Sensors, Windows, Ems",New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency,"Police Precincts, Fire Stations",1,2263998,192557,235.2,1676538,0,0,0,,0,4113.533,484.4759,0,235 East 20th Street,,New York,NY,10003,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts. Install occupancy sensors to control lighting.
2005,06/23/2005,ES-EPN-0050,NYPD - 114TH POLICE PRECINCT - CHILLER,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency,"Police Precincts, Fire Stations",1,238022,0,0,0,0,0,0,,0,0,0,0,"34-16 Astoria Blvd, SW Corner",,Queens,NY,11105,"Replace a reciprocating liquid chiller and cooling tower with an energy efficient air cooled liquid chiller. By removing the cooling tower, the energy, operations and maintenance costs for the chilled water system will be reduced. New chiller water pumps, refrigerant leak detection system and chiller control panel is included."
2005,05/16/2005,ES-PHN-0184,NYCHA - NYCHA REFRIGERATORS - MAYTAG SERVICE CONTRACT,New York City,J - New York City,NEW YORK,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,111100,0,0,0,0,0,0,,0,0,0,0,67-02 PARSONS BLVD ENT POMONOK,,NEW YORK,NY,,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
2005,05/11/2005,ES-ADN-0001,Fuel Cell - NYC DEP 26th Ward (2),New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Environmental Protection,Renewables - Fuel Cell,"Sewage Treatment, Landfill, and Water Supply Facilities",1,3205849,0,0,2277600,0,0,0,0,0,5267.069,658.1672,400,12266 Flatlands Avenue,,Brooklyn,NY,11270,"Purchase and installation of 2 fuel cells powered by anaerobic digester gas for NYC DEP. Each fuel cell power plant will consist of a power module, gas processing unit and cooling module."
2005,05/11/2005,ES-ADN-0004,Fuel Cell - NYC DEP Red Hook (2),New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Environmental Protection,Renewables - Fuel Cell,"Sewage Treatment, Landfill, and Water Supply Facilities",1,3266146,0,0,2277600,0,0,0,0,0,5267.069,658.1672,400,63 FLUSHING AVE,,BROOKLYN,NY,11205,"Purchase and installation of 2 fuel cells powered by anaerobic digester gas for NYC DEP. Each fuel cell power plant will consist of a power module, gas processing unit and cooling module."
2005,05/04/2005,ES-ESN-0094,SUNY Brockport - Ph.2,Finger Lakes,B - Genesee,MONROE,Central,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,3547286,310179,82.4,1429042,289260,0,0,0,0,8291.969,1728.09,0,350 NEW CAMPUS DRIVE,,Brockport,NY,14420-2914,Upgrade the chilled water and boiler hot water loops to increase operating efficiency. Occupancy sensors will be installed in areas of significant lighting and heating loads. Existing inefficient exit signs will be replaced with new LED exit signs. Install heat exchangers to extend the life of boilers. Upgrade of the Energy Management System in various buildings to monitor and control HVAC equipment. Recover waste heat from exhaust air to preheat make-up air which will improve operating efficiency. Install a new cooling tower on a chiller which will improve operating efficiency.
2005,04/29/2005,ES-LTN-0185,IS-306X (206 ANNEX),New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",2,256398,80395,186.9,666651,0,0,0,,0,1635.641,192.6448,0,40 W. Tremont Ave.,,BRONX,NY,10453,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts.
2005,04/19/2005,ES-ESN-0110,SUNY Albany - Ph.V,Capital District,F - Capital,ALBANY,Central,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,153232,29552,683,310915,0,0,0,0,0,718.9914,41.7363,0,1400 Washington Ave,1400 washington avenue,Albany,NY,12222,This project involved the installation of a Variable Frequency Drive (VFD) on Chiller No.4 at SUNY Albany. The VFD allows the Chiller to operate at reduced speeds doing intermediate cooling loads.
2005,04/15/2005,ES-CAC-0088,PS-158M - CONTROLS,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,358445,26824,0,0,33570,0,0,,,578.7931,44.62624,0,1458 York Ave,,New York,NY,10021,"Projects to improve air compressors, steam distribution and thermostatic controls in New York City schools.  The program is funded by New York City Department of Education funds."
2005,04/13/2005,ES-ESN-0086,Malone Central School District - Design Only,North Country,E - Mohawk Valley,FRANKLIN,Northern,MALONE CSD,,Design Services,"Schools, Elementary and Secondary",5,66066,0,0,0,0,0,0,0,0,0,0,0,High School,,Malone,NY,12953,"The Energy Service Program at Malone School District included engineering services involving feasibility studies at the High School, Middle School, Davis, Flanders, and St. Joseph s Elementary Schools. After review by the District, full design of energy retrofits was initiated including: at Malone High School, improvements to the existing fuel burner, including installation of a variable speed motor for greater efficiency and a computerized energy management system; atthe Middle School include an energy management system to control the heating and ventilation requirements for classrooms, energy-saving lamps and electronic ballasts, occupancy sensors for classrooms, offices and restrooms; at the Davis Elementary School new burner combustion controls to improve fuel use efficiency; Flanders Elementary School lighting retrofits, installation of burner controls and a new computerized energy management system. Once the design was accepted by the District each project was submitted to SED for Building Permit application."
2005,04/01/2005,ES-LTN-0305,SUNY College Of Optometry,New York City,J - New York City,NEW YORK,Southeastern,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency,Colleges and Universities,1,96660,12765,39.4,86450,0,0,0,,0,211.9828,24.9818,0,33 West 42nd Street,,New York,NY,10036,Lighting upgrade at the auditorium.
2005,03/31/2005,ES-LTN-0309,IS-218M - STEAM TRAPS,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,102340,20852,0,0,34750,0,0,,0,599.1379,184.5573,0,4600 Broadway,,Inwood,NY,10040,Replacement of Steam traps.
2005,03/31/2005,ES-LTN-0350,PARAMOUNT CENTER FOR THE ARTS - LIGHTING PHASE II,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,POCR Grant Agreement,,Energy Efficiency,"Arenas, Armories, Convention Ctr, Museums, Halls",1,19286,2232,6.2,19141,0,0,0,,0,46.9069,5.531251,0,1008 Brown Street,,Peekskill,NY,10566,"Lighting: This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting."""
2005,03/03/2005,ES-PHN-0183,NYCHA - Misc NYCHA Refrigerator Deliveries,New York City,J - New York City,NEW YORK,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,83354,11859,18.5,148108,0,0,0,,0,364.031,42.79936,0,549 West 126th Street,,NEW YORK,NY,,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
2005,02/28/2005,ES-PLN-6004,NYC DEP - Port Richmond WWTP - PLM Upgrade Ph.I,New York City,J - New York City,RICHMOND,Southeastern,CITY OF NEW YORK,NYC Department of Environmental Protection,System Reliability - Emergency Generators,"Sewage Treatment, Landfill, and Water Supply Facilities",1,164998,0,0,0,0,0,0,,0,0,0,0,1801 Richmond Terrace,,Staten Island,NY,10310,Electrical key interlock to support PLM effort.
2005,02/25/2005,ES-CAB-0107,PS-173M - Coal Boiler Conversion,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,2863266,79973,0,0,0,0,0,,411,0,963.453,0,306 Ft Washington Ave,,New York,NY,10033,NYPA replaced coal-fired heating systems and is in the process of replacing No. 6 heavy oil burning systems in public schools with cleaner and more energy-efficient heating systems fired by oil or gas.  The program is financed through the 1996 New York State Clean Water/Clean Air Bond Act.
2005,02/17/2005,ES-LTN-0308,NYPD - Police Headquarters ASD,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency,"Police Precincts, Fire Stations",1,16035,333,0.7,4540,0,0,0,,0,11.05172,1.311942,0,1 Police Plaza,,NY,NY,10038,This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2005,02/01/2005,ES-EPN-6002,OSSINING WASTEWATER TREATMENT PLANT,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"WESTCHESTER, COUNTY OF",,Energy Efficiency,"Sewage Treatment, Landfill, and Water Supply Facilities",1,3377239,38300,153,199000,0,0,0,,0,460.1724,57.50583,0,,,Ossining,NY,,Replace existing mechanical aeration system with fine bubble diffusers with single stage centrifugal blowers.
2005,01/25/2005,ES-LTN-0298,STUDIO MUSEUM OF HARLEM,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Cultural Affairs,Energy Efficiency,"Arenas, Armories, Convention Ctr, Museums, Halls",1,88442,11943,29.9,127895,0,0,0,,0,313.8862,36.95833,0,144 West 125th Street,,New York,NY,10027,Lighting: This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting. Sensors: Sensors were installed in classrooms and offices to reduce the amount of time that the lights remain on during unoccupied periods.
2005,01/12/2005,ES-LTN-0301,FASHION INSTITUTE OF TECHNOLOGY -  REFRIGERATORS,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,City University of New York,Energy Efficiency,Colleges and Universities,1,53374,6839,12.8,102245,0,0,0,,0,251.3707,29.54615,0,227 West 27th St,,New York,NY,10001,"Provide new energy efficient refrigerators, remove and recycle old equipment."
2005,01/11/2005,ES-PHN-0175,NYCHA - RANDOLPH,New York City,J - New York City,NEW YORK,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,1249066,124501,193.9,1552607,0,0,0,,0,3816.993,448.6631,0,261 W. 114TH ST.,,NEW YORK,NY,10026,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
2005,01/07/2005,ES-LTN-0215,Fashion Institute Of Technology - LIGHTING,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,City University of New York,Energy Efficiency,Colleges and Universities,1,2239306,564919,1279.9,5694858,0,0,0,,0,13972.76,1645.666,0,227 West 27th St,,New York,NY,10001,The standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts. Occupancy sensors will be installed in classrooms and offices that will control lighting in those rooms.The existing inefficient exit signs will be replaced with new LED exit signs.
2005,01/07/2005,ES-LTN-0311,PS-110M (FLORENCE NIGHTINGALE),New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,83878,9337,24.1,105642,0,0,0,,0,259.2793,30.52779,0,285 Delancey Street,,New York,NY,10002,Lighting: This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2005,01/07/2005,ES-LTN-0060,PS-153Q (MASPETH ELEMENTARY SCHOOL),New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,128786,21928,63.1,207907,0,0,0,,0,510.1914,60.07972,0,6002 60TH LANE,,MASPETH,NY,11318,Lighting: This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2005,01/07/2005,ES-LTN-0176,PS-23X,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,106801,14655,39.9,153451,0,0,0,,0,376.5517,44.34335,0,2151 Washington Ave,,BRONX,NY,10457,This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2005,01/07/2005,ES-LTN-0214,PS-3M (JOHN MELSER CHARRETTE SCHOOL),New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",2,85099,11069,25.2,0,0,0,0,,0,0,0,0,490 Hudson Street,,NEW YORK,NY,10014,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts.
2004,12/31/2004,ES-ADN-0002,Fuel Cell - NYC DEP Hunts Point (3),New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Environmental Protection,Renewables - Fuel Cell,"Sewage Treatment, Landfill, and Water Supply Facilities",1,4563590,0,0,3416000,0,0,0,0,0,7899.828,987.1352,600,Coster Street and Ryawa Avenue,,Bronx,NY,10474,"Purchase and installation of 3 fuel cells powered by anaerobic digester gas for NYC DEP. Each fuel cell power plant will consist of a power module, gas processing unit and cooling module."
2004,12/31/2004,ES-ADN-0003,Fuel Cell - NYC DEP Oakwood Beach (1),New York City,J - New York City,RICHMOND,Southeastern,CITY OF NEW YORK,NYC Department of Environmental Protection,Renewables - Fuel Cell,"Sewage Treatment, Landfill, and Water Supply Facilities",1,1241052,0,0,992790,0,0,0,0,0,2295.845,286.8905,200,751 MILL ROAD,,STATEN ISLAND,NY,10300,"Purchase and installation of a fuel cell powered by anaerobic digester gas for NYC DEP. Each fuel cell power plant will consist of a power module, gas processing unit and cooling module."
2004,11/23/2004,ES-EPN-6001,GRASSLANDS CAMPUS - BUREAU OF PURCHASE & SUPPLY BLDG,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"WESTCHESTER, COUNTY OF",,Energy Efficiency,"County, Municipal, & State Government Offices",1,2144384,0,0,0,0,0,0,,0,0,0,0,Grassland Campus,,Valhalla,NY,10595,Customer Implemented Work - Mechanical Renovation of the Bureau of Purchase & Supply Building in the Grasslands Campus.
2004,11/04/2004,ES-ESN-0117,OGS ESP - Chiller Retubing,Capital District,F - Capital,ALBANY,Central,"State of New York (OGS, SUNY, all state agencies)",NYS Office of General Services,Energy Efficiency - Boiler/Chiller,"County, Municipal, & State Government Offices",1,4102305,609205,0,0,946500,0,0,0,0,16318.96,5026.861,0,Empire State Plaza,,Albany,NY,12242,Refit chillers with more efficient heat exchanger tubes.
2004,11/01/2004,ES-EPN-0047,NYPD - POLICE ACADEMY - ELECTRICAL SERVICE UPGRADE,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,System Reliability - Emergency Generators,"Police Precincts, Fire Stations",1,3882227,0,0,0,0,0,0,,0,0,0,0,205 East 20th Street,,New York,NY,10003,Preliminary scope: Provide design and installation for electrical service upgrade.
2004,10/29/2004,ES-LTN-0266,PS-132M (Juan Pablo Duarte School),New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,90014,17062,41.3,141688,0,0,0,,0,347.7155,40.94415,0,185 WADSWORTH AVENUE,,NEW YORK,NY,10033,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts.
2004,10/29/2004,ES-LTN-0269,PS-151Q (MARY D. CARTER SCHOOL),New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,132796,23897,57.4,188728,0,0,0,,0,463.0397,54.53748,0,50-05 31 AVENUE,,WOODSIDE,NY,11377,Standard fluorescent and incandescent lighting fixtures will be replaced with high energy efficient lighting and ballasts.
2004,10/13/2004,ES-ESN-0126,SUNY Buffalo - GoodYear Hall Phase 3,Western New York,A - West,ERIE,Western,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,2342002,6528,27,93260,0,0,0,0,0,215.6207,12.51894,0,376 Red Jacket Quadrangle,,Buffalo,NY,14261-0008,"Install energy efficient lighting throughout building, install 10th floor lounge air conditioning, re-commission air handling system, install energy efficient bathroom fixtures to replace leaking and inoperative equipment, and repair plumbing problems to reduce hot water leakage."
2004,10/13/2004,ES-ESN-0106,SUNY Buffalo - GoodYear Hall (Windows) Phase 2,Western New York,A - West,ERIE,Western,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,2662765,18085,0,0,33760,0,0,0,0,582.069,179.2994,0,376 Red Jacket Quadrangle,,Buffalo,NY,14261,Replace inefficient windows with new energy efficient double pane windows.
2004,10/07/2004,ES-LTN-0247,PS-86X,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,219910,36488,100.8,370000,0,0,0,,0,909.1379,106.9204,0,2756 Reservoir Ave,,Bronx,NY,10468,"Standard fluorescent, incandescent and HID lighting fixtures were replaced with high energy efficient lighting and ballasts."
2004,09/22/2004,ES-ESN-0105,Spackenkill School District,Mid-Hudson,G - Hudson Valley,DUTCHESS,Southeastern,SPACKENKILL UFSD,,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",4,520450,30884,170.84,274171,0,0,0,0,0,634.088,36.80389,0,,,,NY,,Lighting & occupancy sensors
2004,08/27/2004,ES-LTN-0069,SOUTH BRONX HS,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,197352,22543,64.9,213740,0,0,0,,0,524.3448,61.7653,0,701 SAINT ANNS AVENUE,,BRONX,NY,10455,This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2004,08/05/2004,ES-CAB-0026,PS-153Q - Coal Boiler Conversion,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,1885574,82151,0,0,0,0,0,,326,0,764.6675,0,60-02 60 Lane,,QUEENS,NY,11378,NYPA replaced coal-fired heating systems and is in the process of replacing No. 6 heavy oil burning systems in public schools with cleaner and more energy-efficient heating systems fired by oil or gas.  The program is financed through the 1996 New York State Clean Water/Clean Air Bond Act.
2004,07/21/2004,ES-LTN-0248,Alfred E. Smith Vocational HS / PS-1X (Courtlandt School),New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",2,685716,76847,202,841666,0,0,0,,0,2065.172,243.2196,0,333 East 151st Street,,Bronx,NY,10451,This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2004,07/14/2004,ES-CAB-0114,INDIAN PARK ACADEMY - Coal Boiler Conversion,Western New York,A - West,ERIE,Western,BUFFALO CITY SCHOOL,,Energy Efficiency,"Schools, Elementary and Secondary",1,1134436,9444,0,0,0,0,0,,150,0,351.6252,0,76 Buffum St,,BUFFALO,NY,14210,NYPA replaced coal-fired heating systems and is in the process of replacing No. 6 heavy oil burning systems in public schools with cleaner and more energy-efficient heating systems fired by oil or gas.  The program is financed through the 1996 New York State Clean Water/Clean Air Bond Act.
2004,07/07/2004,ES-NEN-0020,NYC - 100 GOLD STREET BLDG - BOILER,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Dept. Of Citywide Administrative Services,Energy Efficiency,"County, Municipal, & State Government Offices",1,3408716,244947,0,0,-268360,-6922,22746,,0,0,-212.3638,0,100 GOLD STREET,,NY,NY,10038,"The scope of the project included the Installation of three (3) 400 BHP fire tube low pressure steam boilers, which fire a dual fuel system, including #2 oil and interruptible natural gas, installation of a #2 fuel oil system, which includes two new 5,000 gallon oil tanks in a three hour fire rated oil tank storage room and two fuel oil pumps, a boiler feed water unit with tank system, condensate pumps, and associated steam, condensate and fuel oil piping within the boiler room and down a design shaft to the basement. Additionally a gas fired 250 gallon domestic hot water heater was installed."
2004,07/06/2004,ES-LTN-0271,PS-135K (S.A.BROOKNER SCHOOL),New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,134581,17737,50.6,155358,0,0,0,,0,381.1448,44.89442,0,684 LINDEN BOULEVARD,,BROOKLYN,NY,11203,This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2004,06/29/2004,ES-LTN-0310,PARAMOUNT CENTER FOR THE ARTS - LIGHTING,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,POCR Grant Agreement,,Energy Efficiency,"Arenas, Armories, Convention Ctr, Museums, Halls",1,70329,0,0,0,0,0,0,,0,0,0,0,1008 Brown Street,,Peekskill,NY,10566,Theater house lighting upgrade.
2004,06/25/2004,ES-ESN-0047,Buffalo City Schools - Phase IV,Western New York,A - West,ERIE,Western,BUFFALO CITY SCHOOL,,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",23,8724390,456691,733,1784700,332070,0,0,0,0,10194.48,2003.197,0,BUFFALO CITY SCHOOL DISTRICT,403 CITY HALL,BUFFALO,NY,14202,Existing inefficient light fixtures will be replaced with high energy efficient lighting and ballasts. Occupancy sensors will be installed in areas of significant lighting loads. Existing standard efficiency motors will be replaced with premium efficiency motors. Up grade of the Energy Management System in various buildings to monitor and control HVAC equipment. Replacement of inefficient boilers controls with new energy efficient boiler modulation controls which would provide increased operating efficiency. Installation of pool cover which would provide reduced operating and energy costs.
2004,06/22/2004,ES-CAC-0089,PS-29Q - CONTROLS,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,340895,13412,0,0,16785,0,0,,,289.3103,36.91034,0,125-10 23 Ave,,Queens,NY,11361,"Projects to improve air compressors, steam distribution and thermostatic controls in New York City schools.  The program is funded by New York City Department of Education funds."
2004,06/04/2004,ES-LTN-0263,PS-229K (DYKER SCHOOL),New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,86656,18765,57.5,157709,0,0,0,,0,386.9086,45.5738,0,1400 BENSON AVENUE,,BROOKLYN,NY,11228,This project was a lighting upgrade of the fluorescent and incandescent lighting. Standard fluorescent lighting was replaced with T8 lighting with reflector technology. Incandescent lighting was replaced with compact fluorescent and T8 fluorescent lighting.
2004,06/01/2004,ES-NEN-0013,HUNTER CAMPUS H.S. - BOILER DESIGN ONLY,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,108172,0,0,0,0,0,0,,0,0,0,0,71 East 94th Street,,New York,NY,10128,"New York City and Westchester governmental customers were provided with financing, technical services and installation of energy-efficient non-electric measures, such as domestic water systems and boilers.  This program is now being offered under the Governmental Customers Energy Services Program.  This program was funded through NYPA financing."
2004,06/01/2004,ES-EPN-0018,HUNTER CAMPUS H.S. - CHILLER DESIGN ONLY,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,153111,0,0,0,0,0,0,,0,0,0,0,71 East 94th Street,,New York,NY,10128,Design only work for the replacement of one 350 tons steam absorption chiller with two 250 tons screw chillers.
2004,05/14/2004,ES-ESN-0103,SUNY Buffalo - GoodYear Hall (Heating),Western New York,A - West,ERIE,Western,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - HVAC,Colleges and Universities,1,5746767,56469,0,0,67310,0,0,0,0,1160.517,357.4834,0,376 Red Jacket Quadrangle,,Buffalo,NY,14261,"Convert steam heating system to hydronic heating system. Upgrade lighting. Replace windows. In order to facilitate construction, this project will likely be broken into two phases."
